nama_produk,harga,rating,jumlah_terjual,lokasi_penjual,kategori,brand,platform
PROMO PACKAGE Samsung A05 Series Smartphone New Garansi Resmi,1.899.000,5,Terjual 1,Kota Semarang,Hp,Samsung,Bliblii
Samsung Galaxy A07 LTE 4/64 4/128 6/128 8/256 [N] Smartphone + Travel Adaptor 25W,1.699.000,"4,9","Terjual 2,4 rb",Kota Jakarta Timur,Hp,Samsung,Bliblii
Samsung Galaxy S23 Ultra 5G Smartphone 256GB,21.000.000,,,,Hp,Samsung,Bliblii
SAMSUNG A07 6/128 GB A 07 4/128 GB SMARTPHONE GARANSI RESMI SAMSUNG TERBARU A07 4G 4/64 GB - SAMSUNG A07,1.666.275,5,Terjual 103,Kota Tangerang,Hp,Samsung,Bliblii
Samsung Galaxy A57 5G Hp Al | IP68 | 5000 mAh - Segel Box,6.625.500,,,Kota Bogor,Hp,Samsung,Bliblii
Samsung Galaxy A07 4/64GB + Bundling Adapter 25W Garansi Resmi,1.749.000,"4,9",Terjual 219,Kota Medan,Hp,Samsung,Bliblii
Samsung Galaxy A56 5G 8/256GB GARANSI RESMI SAMSUNG,6.220.000,5,Terjual 19,Kota Medan,Hp,Samsung,Bliblii
Samsung Galaxy S25 FE 8GB/256GB Garansi Resmi,9.339.000,,Terjual 4,Kota Medan,Hp,Samsung,Bliblii
HP Samsung Galaxy A23 6/128GB Original Garansi Resmi,3.299.000,,Terjual 1,,Hp,Samsung,Bliblii
HP Samsung Galaxy A23 RAM 6/128 GB Smartphone Garansi Resmi,3.168.000,,,,Hp,Samsung,Bliblii
Samsung Galaxy A37 5G 8/256GB - Awesome Charcoal | Hp Al | IP68 | 5000 mAh - Segel Box,5.725.500,,,Kota Bogor,Hp,Samsung,Bliblii
"Samsung A07 5G 6/128 GB Camera 50 MP 6,7 Inch Mediatek Dimensity 6300 Baterai 6000 mAh | Garansi Resmi SEIN 1 Tahun",2.743.680,5,Terjual 3,Kota Tangerang,Hp,Samsung,Bliblii
